X_mean;Y_mean;Z_mean;X_var;Y_var;Z_var;medicao;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;INSTALACAO;FILTROS_BIT;FILTROS;UC_FILT_FINAL
-56,43749913;-12,85687478;-57,10499884;3593,281057;49,36325328;1099,997145;411369795;;;;;0411369795;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
45,00479948;13,46639976;18,5016;2983,811583;0,750623888;746,5178609;414659854;;;;;0414659854;000000000000000000000000000000001100000;[33, 34];1
39,58064488;8,490967584;-15,04064495;2310,406141;183,2735615;538,7043172;420933314;;;;;0420933314;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
50,1247051;97,51646945;-23,50823495;1786,370647;2167,877625;106,9385762;414091436;;;;;0414091436;000000000000000000000000000100001100000;[28, 33, 34];1
5,724705649;-18,38705855;-3,51764698;1335,765446;2064,241586;171,3185138;414103773;;;;;0414103773;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
13,85333291;-58,75199891;9,545333176;1180,741062;24,66697005;15,91818874;412911147;;;;;0412911147;000000000000001001000000000000001100000;[15, 18, 33, 34];0
17,60057134;32,13257089;9,068571314;1156,878186;870,772272;12165,00731;413460549;;;;;0413460549;000000000000000001010000000000001100000;[18, 20, 33, 34];1
-13,79999961;32,34765943;-27,30510576;985,1507651;2116,332544;487,4878317;400174858;;;;;0400174858;000000000000000000000000000000000000000;[];1
35,15764661;4,068235222;3,231764669;946,9085456;358,278181;12,71549041;411631547;;;;;0411631547;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
-61,79777136;58,52122759;11,94689527;889,6434011;500,6224259;22,9647156;413015389;;;;;0413015389;000000000000000000010000000000001000000;[20, 33];1
2,101874905;8,705624822;7,904999891;762,6559051;12,45538521;6,148567284;420517365;;;;;0420517365;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
-17,65764682;-10,28117634;44,787058;756,7560276;141,2680001;942,3161362;412087643;;;;;0412087643;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
17,41499979;10,85499992;7,157499783;742,1989018;661,5149849;389,1588788;413833363;;;;;0413833363;000000000000000000000000000000001000000;[33];1
23,15485676;7,042285491;-3,874285684;694,1607389;87,06707351;115,0342442;414392937;;;;;0414392937;000000000000000001000000001100001000000;[18, 27, 28, 33];1
8,583529265;1,729411847;1,768235353;642,7350202;212,6147912;798,0934089;411104574;;;;;0411104574;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
34,53959935;-0,506399878;21,36119973;615,7561117;91,34906318;190,4947282;411631589;;;;;0411631589;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
-34,04333289;2,143333311;-23,53999983;594,20799;71,68015173;90,73905796;420048447;;;;;0420048447;000000000000001100000000000000001111000;[15, 16, 33, 34, 35, 36];0
-64,12749904;42,89749958;56,32499929;583,0907247;81,033649;244,8986796;410720281;;;;;0410720281;000000000000000000000000000000000000000;[];1
-22,59999967;0,036666647;-1,261666681;563,2002384;40,88021587;58,88869317;420775588;;;;;0420775588;000000000000000000000000000000001100000;[33, 34];1
14,91257093;0,779999946;10,70399981;470,761026;118,4304678;119,1157806;414922317;;;;;0414922317;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
23,03384606;22,34461508;-5,347692187;470,2816031;2,581335963;33,78641172;412603721;;;;;0412603721;000000000000000001000000011100000000000;[18, 26, 27, 28];0
-1,5458823;12,75176452;4,142352805;456,0114959;132,6614872;63,90906262;414130063;;;;;0414130063;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
6,145714238;9,391428338;5,037142806;447,9575551;1,464342543;6,286491314;412226826;;;;;0412226826;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
7,796363603;-9,512727091;-14,30909064;438,5135032;2,299970406;5,285276901;414347442;;;;;0414347442;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
-33,58927806;2,91122446;-21,36389745;426,1766716;0,463198487;301,7071949;410492736;;;;;0410492736;000000000000000000000000000000000000000;[];1
21,04823497;40,6341172;8,058823355;424,9560842;560,4296493;18,16163704;410691058;;;;;0410691058;000000000000000000000000000000001111000;[33, 34, 35, 36];0
-39,99692269;22,16538427;15,99461513;421,2498339;27,38424038;8,964913583;414362521;;;;;0414362521;000000000000001100000000000000001111000;[15, 16, 33, 34, 35, 36];0
-39,74374922;13,48124982;-31,1712494;410,6415285;34,24184494;1147,474061;412075396;;;;;0412075396;000000000000000000000000000100001100000;[28, 33, 34];0
40,00117543;-10,26117627;-1,60588232;400,7936509;29,86307787;53,15235529;413412413;;;;;0413412413;000000000000000000000000000000000000000;[];1
12,52999974;20,34999948;-22,40999979;375,9641694;52,1019102;77,05502819;412850038;;;;;0412850038;000000000000000000000000011100000000000;[26, 27, 28];0
-2,723626634;-1,357324896;-4,655511221;373,9497627;197,9757031;1274,70941;414204621;;;;;0414204621;000000000000000001000000000000001000000;[18, 33];1
5,7216;6,26879994;24,60719968;322,2032542;122,1873328;587,212876;420126820;;;;;0420126820;000000000000001100000000000000001111000;[15, 16, 33, 34, 35, 36];0
-48,00333283;-14,93999972;23,48666631;321,7934997;13,22928021;13,96582649;413245764;;;;;0413245764;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
-9,569999889;14,54699975;6,96299974;319,8814051;7,127422075;4,928768335;420183552;;;;;0420183552;000000000000000000010000000000001110000;[20, 33, 34, 35];0
12,48588206;6,881176361;30,10352912;301,7217902;91,59170027;24,91157735;414167695;;;;;0414167695;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
-16,90619194;-6,44399056;32,11014378;298,9901238;44,7264406;95,69944806;430126682;;;;;0430126682;000000000000000001000000011100000000000;[18, 26, 27, 28];0
-9,290270227;8,818378103;34,62162126;285,3952938;19,02289541;908,8156848;413736354;;;;;0413736354;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
11,09882333;24,38235258;-14,07882329;279,9002094;92,12543169;12,21434194;414444211;;;;;0414444211;000000000000000001100000011100000000000;[18, 19, 26, 27, 28];0
-36,97787164;8,018297798;8,199574349;272,7417602;113,1918883;31,63449529;412921179;;;;;0412921179;000000000000000001001000011100000000000;[18, 21, 26, 27, 28];0
3,264440663;-3,592730729;-12,88982528;272,4616955;155,1694971;40,22564071;414283882;;;;;0414283882;000000000000001100000000000000001111000;[15, 16, 33, 34, 35, 36];0
9,593333342;-3,566666647;-1,729999894;265,8934105;16,90992947;66,67676278;410024918;;;;;0410024918;000000000000000000000000001100001000000;[27, 28, 33];1
-2,937777715;7,415555485;-0,944444419;260,4003153;23,48840997;30,3858246;411631604;;;;;0411631604;000000000000000000110000000000000000000;[19, 20];1
16,17058808;5,264705755;-4,107058747;255,6841417;22,31896856;37,72415513;413810369;;;;;0413810369;000000000000000000100000011100000000000;[19, 26, 27, 28];0
35,78705835;-36,49294065;39,49411684;252,577188;640,3789669;1968,403553;413656547;;;;;0413656547;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
8,587659534;-9,268084968;8,365531838;251,1567576;324,5293269;119,6904088;414883284;;;;;0414883284;000000000000000001000000001100001000000;[18, 27, 28, 33];1
1,448888815;12,14444434;4,026666585;248,2359732;93,71056281;0,945507599;413714548;;;;;0413714548;000000000000000000000000011100000000001;[26, 27, 28, 39];0
-5,602857143;16,11428548;0,768571414;247,4072824;29,17424669;9,074742664;420933266;;;;;0420933266;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
-43,04333267;12,88499983;10,08833318;242,0932592;10,63879682;101,4930802;413395106;;;;;0413395106;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
-5,556315803;23,61947345;-14,78526297;231,4627792;321,8849987;60,42544113;414221653;;;;;0414221653;000000000000000001000000011100000000000;[18, 26, 27, 28];0
-6,331199892;14,58719972;-3,146399948;230,0421294;1,584396034;31,44572325;412496691;;;;;0412496691;000000000000000000010000011100000000000;[20, 26, 27, 28];0
4,541987198;4,172650179;26,14970338;229,8414043;47,08733514;67,51004081;411540105;;;;;0411540105;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
-33,48941137;32,40470527;10,63058814;228,5906884;290,849441;821,377663;420833669;;;;;0420833669;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
-5,88400003;4,543999959;21,68199969;223,3638423;72,38009283;259,5727753;414283301;;;;;0414283301;000000000010000000000000000000001000000;[11, 33];0
13,58869549;-10,28086931;30,07304317;219,2605675;10,50827101;86,88140212;411417386;;;;;0411417386;000000000000000001000000011100000000000;[18, 26, 27, 28];0
39,19263063;5,548420912;21,11684172;217,2954222;36,02014539;96,02618641;412718756;;;;;0412718756;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
10,51846155;10,46307667;10,18461523;215,136592;9,381905866;90,49295403;420030896;;;;;0420030896;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
-15,4499997;11,79692287;-10,01769213;210,2691523;22,24686828;6,145482148;413454878;;;;;0413454878;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
8,941176347;3,654117559;-0,230588233;210,1329275;135,6391031;97,43059575;411458122;;;;;0411458122;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
7,807317014;22,3785363;17,85219477;207,3418477;218,506223;250,5092458;413201552;;;;;0413201552;000000000000000000000000000000001000000;[33];1
-13,7169228;-38,24307663;17,33076883;206,87099;665,753485;508,1557312;414545482;;;;;0414545482;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
9,739354722;12,9658063;37,49999981;203,4752074;33,90680511;15,46199942;420595509;;;;;0420595509;000000000000000000000000000000001000000;[33];1
-27,77699971;-26,41049958;-26,1089997;202,0661409;18,83979498;33,36619478;413113540;;;;;0413113540;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
-3,077647045;-6,488235073;-1,117647078;201,10295;97,86455877;610,6411993;413540415;;;;;0413540415;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
12,78470573;15,52470566;11,85764694;200,6518775;3,627193758;8,26127426;421274125;;;;;0421274125;000000000000000000000000000000001111000;[33, 34, 35, 36];0
-10,49249984;8,513999813;1,182000012;200,3987348;6,414793439;36,94231279;412931523;;;;;0412931523;000000000000000000000000000000001000000;[33];1
1,352727209;-0,118181824;13,91454512;196,896617;12,30603384;19,51770618;414072263;;;;;0414072263;000000000000001000000000000000001111000;[15, 33, 34, 35, 36];0
16,3319998;14,1479998;-30,16799951;188,6946133;6,479074949;302,9740346;411505011;;;;;0411505011;000000000000000000000000000000001110000;[33, 34, 35];0
28,56999985;-24,95624973;33,6862491;187,8311991;13,03052884;11,52718374;410325520;;;;;0410325520;000000000000000000000000000000001000000;[33];1
10,88879973;5,330399968;15,38639968;184,9410266;8,148804083;13,86212361;414773121;;;;;0414773121;000000000000000001000000001100001000000;[18, 27, 28, 33];1
