,X_mean,Y_mean,Z_mean,X_var,Y_var,Z_var,medicao,UC_FILT_FINAL
1,45.00479948,13.46639976,18.5016,2983.811583,0.750623888,746.5178609,414659854,1
3,50.1247051,97.51646945,-23.50823495,1786.370647,2167.877625,106.9385762,414091436,1
6,17.60057134,32.13257089,9.068571314,1156.878186,870.772272,12165.00731,413460549,1
7,-13.79999961,32.34765943,-27.30510576,985.1507651,2116.332544,487.4878317,400174858,1
9,-61.79777136,58.52122759,11.94689527,889.6434011,500.6224259,22.9647156,413015389,1
12,17.41499979,10.85499992,7.157499783,742.1989018,661.5149849,389.1588788,413833363,1
13,23.15485676,7.042285491,-3.874285684,694.1607389,87.06707351,115.0342442,414392937,1
17,-64.12749904,42.89749958,56.32499929,583.0907247,81.033649,244.8986796,410720281,1
18,-22.59999967,0.036666647,-1.261666681,563.2002384,40.88021587,58.88869317,420775588,1
24,-33.58927806,2.91122446,-21.36389745,426.1766716,0.463198487,301.7071949,410492736,1
28,40.00117543,-10.26117627,-1.60588232,400.7936509,29.86307787,53.15235529,413412413,1
30,-2.723626634,-1.357324896,-4.655511221,373.9497627,197.9757031,1274.70941,414204621,1
40,9.593333342,-3.566666647,-1.729999894,265.8934105,16.90992947,66.67676278,410024918,1
41,-2.937777715,7.415555485,-0.944444419,260.4003153,23.48840997,30.3858246,411631604,1
44,8.587659534,-9.268084968,8.365531838,251.1567576,324.5293269,119.6904088,414883284,1
58,7.807317014,22.3785363,17.85219477,207.3418477,218.506223,250.5092458,413201552,1
60,9.739354722,12.9658063,37.49999981,203.4752074,33.90680511,15.46199942,420595509,1
64,-10.49249984,8.513999813,1.182000012,200.3987348,6.414793439,36.94231279,412931523,1
67,28.56999985,-24.95624973,33.6862491,187.8311991,13.03052884,11.52718374,410325520,1
68,10.88879973,5.330399968,15.38639968,184.9410266,8.148804083,13.86212361,414773121,1
69,5.310588104,-6.202352843,11.09647045,183.2322727,1003.547196,317.0435549,420642823,1
71,0.38571423,11.83428551,-2.785714194,178.9317187,41.1501243,12.45332484,414787382,1
72,-17.4179998,12.50399979,-4.58799986,175.6102673,18.06122463,23.12658021,420531091,1
85,32.38097537,3.575121837,36.16975551,158.7535952,222.3309465,46.64680028,420165329,1
86,-14.75249987,-8.974999788,0.372499917,158.6511583,17.96992098,550.5686456,420623811,1
88,32.24799973,-2.181999857,11.55999983,156.670441,248.274971,457.8753742,421094721,1
89,-4.584000017,14.62971391,-9.217714203,153.0542445,8.938267857,27.13258223,420092661,1
90,30.16799977,93.65999793,26.97199943,152.4059717,4.284249604,10.55339593,430106161,1
94,-9.854399884,-0.177600028,41.42159932,143.359278,33.04182233,122.4440386,414876641,1
103,-13.59652161,-43.21173841,25.583478,133.7720733,15.42169596,1.043596385,410149096,1
104,64.87749867,98.127498,43.1699995,133.6055305,7.754703355,16.05474669,410024666,1
106,-6.935555422,10.65999975,5.586666519,129.9642222,13.55815249,144.1222128,414867028,1
107,-3.475862045,7.286896427,-6.626896426,129.3256053,28.33189245,51.23226295,411978046,1
111,7.257391296,9.101739048,5.535652053,122.5709908,11.83694222,15.56745222,410024862,1
112,-5.05516456,-12.21241489,17.72705354,121.5273362,119.3165447,5.577859222,414099411,1
113,-14.1654544,0.902727305,-10.85181795,120.6459123,259.3438132,33.55518585,413784191,1
115,7.772307664,3.152307653,18.83384591,113.3099647,49.84916904,430.79528,413133691,1
119,-6.485882127,-5.974117431,20.34117622,107.7765441,101.22872,3.29392657,420774904,1
121,-4.161176386,-2.958823479,11.13529392,106.3480006,85.43987497,5.117065105,430002635,1
125,2.773469386,-30.88040753,34.49142815,105.1258886,32.48435671,255.0070433,410675826,1
126,4.82285712,-2.171428557,16.50571419,104.1251276,32.10826234,0.854245913,430169682,1
133,1.188461527,10.48153821,-5.999999865,99.48269141,5.351260905,53.5697255,410061058,1
138,3.875121878,-1.985853649,25.60975566,96.45676871,24.60308447,313.6157802,413633586,1
142,-3.482399892,16.61519974,-3.535199908,90.808938,8.016276777,63.3158733,413708236,1
145,8.463529345,-5.778823394,24.12235273,88.00896966,49.4408846,10.14436263,410458287,1
148,-48.06561567,36.8585281,-190.4900669,84.5035206,0.117850768,23.3991909,430097027,1
149,-4.710857074,16.96971411,-8.219999815,83.55226449,27.4649261,46.92959759,413733635,1
151,5.323251295,3.569055,10.30540396,80.10185099,97.59025041,7.459362633,413496229,1
154,-9.667002386,6.327472354,11.55256778,77.68530465,30.71757902,35.55173637,413029934,1
155,-14.78705851,77.59176425,-33.95882335,75.66455625,1.023122422,6.457030513,413874885,1
165,-33.15144838,18.18500567,4.812649667,66.49503929,106.4095741,25.28497073,413807496,1
170,-22.43882323,4.010588096,12.51411742,59.89197454,847.8310033,54.5943233,410325767,1
173,0.470400028,17.37239957,16.50839981,59.31056622,4.830496255,32.37002508,430074945,1
175,-20.73947339,4.632631516,8.448947181,57.33462571,25.6470138,142.3503892,412603166,1
177,-9.864285631,7.782856952,-5.577142775,56.54494634,24.9645562,4.960967058,430171867,1
180,-6.575510014,-6.417550851,12.87061202,55.95988505,3.82784309,19.41211824,412580034,1
184,-41.93454498,10.17136348,37.90636323,53.52359458,253.5869235,14.80418279,414191650,1
